epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.011,4.07556,5.36001,2.34866,0,0,0,0,2.70843,3.8409,1.70818,0.00014,0.00014,0.00014
2,88.2658,3.38055,7.00376,1.69657,0.0002,0.00011,0.0001,7e-05,3.64425,4.31632,2.05512,0.0002703,0.0002703,0.0002703
3,126.134,3.57696,4.50772,1.79446,0.00137,0.00077,0.00113,0.00029,4.1396,4.46476,2.20251,0.00036892,0.00036892,0.00036892
4,165.036,3.29594,4.04111,1.61685,0.00059,0.00033,0.00031,5e-05,4.53032,4.62554,2.22946,0.00043586,0.00043586,0.00043586
5,206.357,3.45289,6.84475,1.55961,0.00078,0.00044,0.0004,8e-05,4.21499,4.50648,2.06904,0.00047112,0.00047112,0.00047112
6,247.971,3.0513,4.43345,1.53485,0.00118,0.00066,0.00062,0.00019,4.33563,4.61541,2.00298,0.0004747,0.0004747,0.0004747
7,288.83,3.09451,4.0238,1.56996,0.00157,0.00088,0.00106,0.00028,4.76924,4.82655,1.95837,0.0004466,0.0004466,0.0004466
8,327.942,3.29282,3.97888,1.64807,0.00118,0.00066,0.00074,0.00029,4.66191,4.69885,1.8788,0.00038682,0.00038682,0.00038682
9,365.273,3.66763,4.62964,1.57443,0.00137,0.00077,0.00072,0.00026,4.58976,4.48437,1.74403,0.00029536,0.00029536,0.00029536
10,406.366,3.18599,4.47552,1.51229,0.00235,0.00133,0.0012,0.00032,4.50387,4.39134,1.69015,0.00017222,0.00017222,0.00017222
